"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Guilford,30696,GST 110,002,2,Quantitative Literacy,,,"Byrd, Mae",KING 201,Full Term Courses,MW,11:30am - 12:45pm,21,22,0/0,0/0,1,,
201730,Guilford,30515,GST 110,003,2,Quantitative Literacy,,,"Baum, Herbert",DUKE 103,Full Term Courses,TR,6:00pm - 7:15pm,18,22,0/0,0/0,4,,
201730,Guilford,30582,GST 120,001,1,Learning Strategies,Class will meet first half of semester.,,"Daniel, Melissa   Walker, Kathryn",DUKE 103,First half of semester course,R,10:00am - 11:15am,15,20,0/0,0/0,5,,
201730,Guilford,30436,GST 120,002,1,Learning Strategies,Class will meet first half of semester.,,"Daniel, Melissa   Smith, M. Douglas",KING 201,First half of semester course,M,4:00pm - 5:15pm,8,20,0/0,0/0,12,,
201730,Guilford,32222,GST 120,004,1,Learning Strategies,Class will meet second half of semester.,,"Daniel, Melissa",DUKE 203,Second half of semester course,M,2:30pm - 3:45pm,16,20,0/0,0/0,4,,
201730,Guilford,33090,GST 150,001,0,Junior Seminar,Enrollment limited to Early College Juniors at Guilford.,,"Bobroff, Maria",FRNK 101,Full Term Courses,W,1:00pm - 2:15pm,48,50,0/0,0/0,2,,
201730,Direct Study Abroad,31629,GST 250,015,16,Direct Study Abroad,,,, ,Full Term Courses,TBA,TBA,0,25,0/0,0/0,25,,
201730,Guilford,32234,GST 253,001,1,Reflection and Journaling,Class will meet first half of semester.,,"Bridges, Cheryl",KING 201,First half of semester course,T,6:00pm - 7:15pm,8,12,0/0,0/0,4,,
201730,Guilford,32298,GST 256,001,2,Career to College to Career,,,"Cromartie, Chelsea",KING 202,Full Term Courses,W,6:00pm - 7:15pm,15,12,0/0,0/0,0,,
201730,Guilford,32196,GST 405,001,2,Quaker Faith and Practice,Prerequisite: GST 105 or instructor permission. Class will meet second half of semester in Friends Center room 100.,,"Daniels, Wess", ,Second half of semester course,MR,8:30am - 9:45am,3,25,0/0,0/0,22,,
201730,Guilford,31715,HIST 101,001,4,HP:The Medieval Web,Enrollment limited to students needing Hist Persp credit. Prerequisite: ENGL 102.,,"Kircher, Timothy",DANA 215,Full Term Courses,TRF,1:00pm - 2:15pm,19,18,0/0,0/0,0,,
201730,Guilford,32773,HIST 101,002,4,The Medieval Web,,,"Kircher, Timothy",DANA 215,Full Term Courses,TF,2:30pm - 3:45pm,24,25,0/0,0/0,1,,
201730,Guilford,32528,HIST 103,001,4,The United States to 1877,,,"Thuesen, Sarah",DUKE 204,Full Term Courses,MR,2:30pm - 3:45pm,23,25,,8/1,2,,
201730,Guilford,32987,HIST 212,001,4,HP:American Frontiers,,,"Akins, Damon",DUKE 203,Full Term Courses,TRF,2:30pm - 3:45pm,14,16,0/0,0/0,2,16,
201730,Guilford,32988,HIST 212,002,4,American Frontiers,Enrollment limited to students needing Hist Persp credit. Prerequisite: Engl 102.,,"Akins, Damon",DUKE 203,Full Term Courses,TRF,2:30pm - 3:45pm,2,6,0/0,0/0,4,16,
201730,Guilford,32985,HIST 221,001,4,HP: North Carolina History,Enrollment limited to students needing Hist Persp credit. Prerequisite: Engl 102.,,"Thuesen, Sarah",DUKE 204,Full Term Courses,MWR,11:30am - 12:45pm,16,16,0/0,0/0,0,21,
201730,Guilford,32986,HIST 221,002,4,North Carolina History,,,"Thuesen, Sarah",DUKE 204,Full Term Courses,MWR,11:30am - 12:45pm,5,6,0/0,0/0,1,21,
